"X1","X2","X3","X4","X5"
"Fair Havens Center","41","41","0","0"
"Bristol At Tampa Rehabilitation And Nursing Center LLC, The","25","25","0","0"
"Seminole Pavilion Rehabilitation & Nursing Services","25","24","1","0"
"Signature Healthcare Center Of Waterford","25","25","0","0"
"Coquina Center","24","24","0","0"
"Page Rehabilitation And Healthcare Center","24","24","0","0"
"Highlands Lake Center","23","23","0","0"
"Tarpon Point Nursing And Rehabilitation Center","22","22","0","0"
"Claridge House Nursing & Rehabilitation Center","21","21","0","0"
"Community Convalescent Center","21","21","0","0"
"Manor Pines Convalescent Center","21","21","0","0"
"Braden River Rehabilitation Center LLC","19","18","1","0"
"Nspire Healthcare Lauderhill","18","18","0","0"
"Regents Park At Aventura","18","18","0","0"
"Suwannee Health And Rehabilitation Center","18","18","0","0"
"Solaris Healthcare Charlotte Harbor","17","17","0","0"
"Riviera Palms Rehabilitation Center","15","15","0","0"
"Signature Healthcare Of Jacksonville","15","15","0","0"
"Unity Health And Rehabilitation Center","15","15","0","0"
"Manorcare Nursing And Rehabilitation Center","14","14","0","0"
"Miami Shores Nursing And Rehab Center","14","14","0","0"
"Gulf Shore Care Center","13","13","0","0"
"Harbour Health Center","13","13","0","0"
"Hialeah Nursing And Rehabilitation Center","13","12","1","0"
"North Dade Nursing And Rehabilitation Center","13","13","0","0"
"Arbor Oaks At Greenacres","12","12","0","0"
"Bayside Health And Rehabilitation Center","12","12","0","0"
"Fountain Manor Health & Rehabilitation Center","12","12","0","0"
"Sinai Plaza Nursing And Rehab Center","12","11","1","0"
"The Broadmoor ALF","12","12","0","0"
"Bradenton Health Care","11","11","0","0"
"Sarasota Point Rehabilitation Center","11","11","0","0"
"St. Mark Village","11","11","0","0"
"Alexander ""Sandy"" Nininger State Veterans Nursing Home","10","10","0","0"
"Aventura Rehab And Nursing Center","10","9","1","0"
"Cross Gardens Care Center","10","10","0","0"
"Manatee Springs Rehabilitation And Nursing Center","10","10","0","0"
"Miami Jewish Health Systems, Inc.","10","10","0","0"
"Oasis Health And Rehabilitation Center","10","10","0","0"
"Susanna Wesley Health Center","10","10","0","0"
"Boulevard Rehabilitation Center","9","9","0","0"
"Chautauqua Rehabilitation And Nursing Center","9","9","0","0"
"Clewiston Nursing & Rehabilitation","9","9","0","0"
"Governors Creek Health And Rehabilitation","9","9","0","0"
"Hamlin Place Of Boynton Beach","9","9","0","0"
"Sands At South Beach Care Center, The","9","9","0","0"
"Southern Oaks Care Center","9","8","1","0"
"Stratford Court Of Boca Raton","9","9","0","0"
"Atria Willow Wood","8","8","0","0"
"Brookdale Deer Creek Sarasota","8","8","0","0"
"Casa Mora Rehabilitation And Extended Care","8","8","0","0"
"Fort Myers Rehabilitation And Nursing Center","8","7","1","0"
"Golden Glades Nursing And Rehabilitation Center","8","8","0","0"
"Manorcare Health Services - Boynton Beach","8","8","0","0"
"Medicana Nursing And Rehab Center","8","8","0","0"
"Regents Park Nursing & Rehabilitation Center","8","8","0","0"
"Royal Oak Nursing Center","8","8","0","0"
"Signature Healthcare Of Palm Beach","8","8","0","0"
"Brookdale Fort Myers The Colony","7","7","0","0"
"Camellia At Deerwood","7","7","0","0"
"Consulate Health Care Of Lakeland","7","7","0","0"
"Coral Reef Nursing & Rehabilitation Center","7","7","0","0"
"Court At Palm Aire, The","7","7","0","0"
"Floridean Nursing And Rehabilitation Center, The","7","7","0","0"
"Parklands Care Center","7","7","0","0"
"Pointe Of North Gables","7","6","1","0"
"Residential Plaza At Blue Lagoon","7","7","0","0"
"Sonata Boynton Beach","7","7","0","0"
