"State","Facility","County","Total Deaths","Resident Deaths","Staff Deaths","Deaths UI"
"Florida","FAIR HAVENS CENTER","Dade","42","42","0","0"
"Florida","SIGNATURE HEALTHCARE CENTER OF WATERFORD","Dade","32","32","0","0"
"Florida","PAGE REHABILITATION AND HEALTHCARE CENTER","Lee","28","28","0","0"
"Florida","SEMINOLE PAVILION REHABILITATION & NURSING SERVICES","Pinellas","26","25","1","0"
"Florida","BRISTOL AT TAMPA REHABILITATION AND NURSING CENTER LLC, THE","Hillsborough","25","25","0","0"
"Florida","HIGHLANDS LAKE CENTER","Polk","25","25","0","0"
"Florida","COQUINA CENTER","Volusia","24","24","0","0"
"Florida","REGENTS PARK AT AVENTURA","Dade","23","23","0","0"
"Florida","CLARIDGE HOUSE NURSING & REHABILITATION CENTER","Dade","22","22","0","0"
"Florida","MANOR PINES CONVALESCENT CENTER","Broward","22","22","0","0"
"Florida","TARPON POINT NURSING AND REHABILITATION CENTER","Sarasota","22","22","0","0"
"Florida","COMMUNITY CONVALESCENT CENTER","Hillsborough","21","21","0","0"
"Florida","BRADEN RIVER REHABILITATION CENTER LLC","Manatee","20","19","1","0"
"Florida","NSPIRE HEALTHCARE LAUDERHILL","Broward","19","19","0","0"
"Florida","HIALEAH NURSING AND REHABILITATION CENTER","Dade","18","18","0","0"
"Florida","SIGNATURE HEALTHCARE OF JACKSONVILLE","Duval","18","18","0","0"
"Florida","SUWANNEE HEALTH AND REHABILITATION CENTER","Suwannee","18","18","0","0"
"Florida","SOLARIS HEALTHCARE CHARLOTTE HARBOR","Charlotte","17","17","0","0"
"Florida","GULF SHORE CARE CENTER","Pinellas","16","16","0","0"
"Florida","NORTH DADE NURSING AND REHABILITATION CENTER","Dade","15","15","0","0"
"Florida","RIVIERA PALMS REHABILITATION CENTER","Manatee","15","15","0","0"
"Florida","UNITY HEALTH AND REHABILITATION CENTER","Dade","15","15","0","0"
"Florida","MANORCARE NURSING AND REHABILITATION CENTER","Collier","14","14","0","0"
"Florida","MIAMI SHORES NURSING AND REHAB CENTER","Dade","14","14","0","0"
"Florida","ARBOR OAKS AT GREENACRES","Palm Beach","13","13","0","0"
"Florida","HARBOUR HEALTH CENTER","Charlotte","13","13","0","0"
"Florida","SINAI PLAZA NURSING AND REHAB CENTER","Dade","13","12","1","0"
"Florida","BAYSIDE HEALTH AND REHABILITATION CENTER","Escambia","12","12","0","0"
"Florida","BRADENTON HEALTH CARE","Manatee","12","12","0","0"
"Florida","FOUNTAIN MANOR HEALTH & REHABILITATION CENTER","Dade","12","12","0","0"
"Florida","OASIS HEALTH AND REHABILITATION CENTER","Palm Beach","12","12","0","0"
"Florida","SANDS AT SOUTH BEACH CARE CENTER, THE","Dade","12","12","0","0"
"Florida","SIGNATURE HEALTHCARE OF PALM BEACH","Palm Beach","12","12","0","0"
"Florida","THE BROADMOOR ALF","St. Lucie","12","12","0","0"
"Florida","ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING HOME","Broward","11","11","0","0"
"Florida","MANATEE SPRINGS REHABILITATION AND NURSING CENTER","Manatee","11","11","0","0"
"Florida","SARASOTA POINT REHABILITATION CENTER","Sarasota","11","11","0","0"
"Florida","ST. MARK VILLAGE","Pinellas","11","11","0","0"
"Florida","AVENTURA REHAB AND NURSING CENTER","Dade","10","9","1","0"
"Florida","BOULEVARD REHABILITATION CENTER","Palm Beach","10","10","0","0"
"Florida","CASA MORA REHABILITATION AND EXTENDED CARE","Manatee","10","10","0","0"
"Florida","CLEWISTON NURSING & REHABILITATION","Hendry","10","10","0","0"
"Florida","CROSS GARDENS CARE CENTER","Dade","10","10","0","0"
"Florida","FORT MYERS REHABILITATION AND NURSING CENTER","Lee","10","9","1","0"
"Florida","HAMLIN PLACE OF BOYNTON BEACH","Palm Beach","10","10","0","0"
"Florida","MIAMI JEWISH HEALTH SYSTEMS, INC.","Dade","10","10","0","0"
"Florida","SUSANNA WESLEY HEALTH CENTER","Dade","10","10","0","0"
"Florida","CHAUTAUQUA REHABILITATION AND NURSING CENTER","Walton","9","9","0","0"
"Florida","CORAL REEF NURSING & REHABILITATION CENTER","Dade","9","9","0","0"
"Florida","GOVERNORS CREEK HEALTH AND REHABILITATION","Clay","9","9","0","0"
"Florida","PARKLANDS CARE CENTER","Alachua","9","9","0","0"
"Florida","REGENTS PARK NURSING & REHABILITATION CENTER","Palm Beach","9","9","0","0"
"Florida","SOUTHERN OAKS CARE CENTER","Escambia","9","8","1","0"
"Florida","STRATFORD COURT OF BOCA RATON","Palm Beach","9","9","0","0"
"Florida","ATRIA WILLOW WOOD","Broward","8","8","0","0"
"Florida","BROOKDALE DEER CREEK SARASOTA","Sarasota","8","8","0","0"
"Florida","CAMELLIA AT DEERWOOD","Duval","8","8","0","0"
"Florida","CONSULATE HEALTH CARE OF BRANDON","Hillsborough","8","8","0","0"
"Florida","FLORIDEAN NURSING AND REHABILITATION CENTER, THE","Dade","8","8","0","0"
"Florida","GOLDEN GLADES NURSING AND REHABILITATION CENTER","Dade","8","8","0","0"
"Florida","MANORCARE HEALTH SERVICES - BOYNTON BEACH","Palm Beach","8","8","0","0"
"Florida","MEDICANA NURSING AND REHAB CENTER","Palm Beach","8","8","0","0"
"Florida","POINTE OF NORTH GABLES","Dade","8","7","1","0"
"Florida","ROYAL OAK NURSING CENTER","Pasco","8","8","0","0"
"Florida","TERRACE OF ST CLOUD, THE","Osceola","8","8","0","0"
"Florida","WASHINGTON REHABILITATION AND NURSING CENTER","Washington","8","8","0","0"
"Florida","BRANDYWYNE HEALTH CARE CENTER","Polk","7","7","0","0"
"Florida","BROOKDALE FORT MYERS THE COLONY","Lee","7","7","0","0"
"Florida","CONSULATE HEALTH CARE OF LAKELAND","Polk","7","7","0","0"
"Florida","COURT AT PALM AIRE, THE","Broward","7","7","0","0"
"Florida","HEARTLAND HEALTH CARE CENTER - BOYNTON BEACH","Palm Beach","7","7","0","0"
"Florida","HERITAGE HEALTHCARE AND REHABILITATION CENTER","Collier","7","7","0","0"
"Florida","HERITAGE PARK CARE AND REHABILITATION CENTER","Manatee","7","7","0","0"
"Florida","LAKE VIEW CARE CENTER AT DELRAY","Palm Beach","7","7","0","0"
"Florida","LIFE CARE CENTER OF ESTERO","Lee","7","7","0","0"
"Florida","MARGATE HEALTH AND REHABILITATION CENTER","Broward","7","7","0","0"
"Florida","PALMS CARE CENTER","Broward","7","7","0","0"
"Florida","RESIDENTIAL PLAZA AT BLUE LAGOON","Dade","7","7","0","0"
"Florida","SONATA BOYNTON BEACH","Palm Beach","7","7","0","0"
"Florida","THRIVE AT BEACHWALK","Lee","7","7","0","0"
"Florida","FREEDOM SQUARE REHABILITATION & NURSING SERVICES","Pinellas","6","6","0","0"
"Florida","GRAND VILLA OF DELRAY EAST","Palm Beach","6","6","0","0"
"Florida","HARBORCHASE OF TAMARAC","Broward","6","6","0","0"
"Florida","JACKSON PLAZA NURSING AND REHABILITATION CENTER","Dade","6","6","0","0"
"Florida","KRYSTAL BAY NURSING AND REHABILITATION","Dade","6","6","0","0"
"Florida","LAKELAND HILLS CENTER","Polk","6","6","0","0"
"Florida","LEHIGH ACRES HEALTH AND REHABILITATION CENTER","Lee","6","6","0","0"
"Florida","MANORCARE AT LELY PALMS","Collier","6","6","0","0"
"Florida","OAKBROOK HEALTH AND REHABILITATION CENTER","Hendry","6","6","0","0"
"Florida","PALMETTO SUBACUTE CARE CENTER","Dade","6","6","0","0"
"Florida","SIGNATURE HEALTHCARE OF BROOKWOOD GARDENS","Dade","6","6","0","0"
"Florida","UNIVERSITY PLAZA REHABILITATION AND NURSING CENTER, INC","Dade","6","6","0","0"
"Florida","ANGELS SENIOR LIVING AT SARASOTA","Sarasota","5","5","0","0"
"Florida","DIAMOND ALF, LLC","Clay","5","5","0","0"
"Florida","HARBORCHASE OF VERO BEACH","Indian River","5","5","0","0"
"Florida","HARBOUR TERRACE","Charlotte","5","5","0","0"
"Florida","HEARTLAND HEALTH CARE AND REHABILITATION CENTER OF BOCA RATON","Palm Beach","5","5","0","0"
"Florida","NORTH BEACH REHABILITATION CENTER","Dade","5","5","0","0"
"Florida","NSPIRE HEALTHCARE PLANTATION","Broward","5","5","0","0"
"Florida","PALM GARDEN OF AVENTURA","Dade","5","5","0","0"
"Florida","PALM GARDEN OF WINTER HAVEN","Polk","5","5","0","0"
"Florida","PATRICK MANOR INC","Pinellas","5","5","0","0"
"Florida","POMPANO HEALTH AND REHABILITATION CENTER","Broward","5","5","0","0"
"Florida","THE FOUNTAINS OF HOPE","Sarasota","5","5","0","0"
"Florida","WILLOWBROOKE COURT AT ST ANDREWS ESTATES","Palm Beach","5","5","0","0"
"Florida","ALL SEASONS IN NAPLES LLC","Collier","4","4","0","0"
"Florida","BLOUNTSTOWN HEALTH AND REHABILITATION CENTER","Calhoun","4","4","0","0"
"Florida","BRIGHT HORIZONS OF RAMBLEWOOD, INC.","Broward","4","4","0","0"
"Florida","BROOKDALE PENSACOLA","Escambia","4","4","0","0"
"Florida","CONSULATE HEALTH CARE AT WEST ALTAMONTE","Seminole","4","4","0","0"
"Florida","CROSS LANDINGS HEALTH AND REHABILITATION CENTER","Jefferson","4","4","0","0"
"Florida","FIVE STAR PREMIER RESIDENCES OF HOLLYWOOD","Broward","4","4","0","0"
"Florida","FORT WALTON REHABILITATION CENTER, LLC","Okaloosa","4","4","0","0"
"Florida","FOUNTAINVIEW","Palm Beach","4","4","0","0"
"Florida","GOOD HOPE MANOR","Broward","4","4","0","0"
"Florida","GRACE MANOR AT LAKE MORTON, LLC","Polk","4","4","0","0"
"Florida","HEALTHPARK CARE CENTER","Lee","4","4","0","0"
"Florida","HEARTLAND HEALTH CARE CENTER - ORANGE PARK","Clay","4","4","0","0"
"Florida","HEARTLAND HEALTH CARE CENTER-FT MYERS","Lee","4","4","0","0"
"Florida","JACKSON MEMORIAL LONG TERM CARE CENTER","Dade","4","4","0","0"
"Florida","PORT CHARLOTTE REHABILITATION CENTER","Charlotte","4","4","0","0"
"Florida","PRESIDENTIAL PLACE","Broward","4","4","0","0"
"Florida","RENAISSANCE HEALTH AND REHABILITATION","Palm Beach","4","4","0","0"
"Florida","SILVER PALM ASSISTED LIVING, LLC","Dade","4","4","0","0"
"Florida","TALLAHASSEE DEVELOPMENTAL CENTER","Leon","4","2","2","0"
"Florida","THE ROSE GARDEN OF FT MYERS","Lee","4","4","0","0"
"Florida","TREASURE ISLE CARE CENTER","Dade","4","4","0","0"
"Florida","VENTURA HEALTH AND REHABILITATION CENTER","Palm Beach","4","4","0","0"
"Florida","WEST GABLES HEALTH CARE CENTER","Dade","4","4","0","0"
"Florida","BENTLEY CARE CENTER","Collier","3","3","0","0"
"Florida","CORAL GABLES NURSING AND REHABILITATION CENTER","Dade","3","3","0","0"
"Florida","COURTYARD GARDENS OF JUPITER","Palm Beach","3","3","0","0"
"Florida","GLADES HEALTH CARE CENTER","Palm Beach","3","3","0","0"
"Florida","GREENWOOD PLACE","Brevard","3","3","0","0"
"Florida","HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW","Pinellas","3","3","0","0"
"Florida","LAKE PARK OF MADISON NURSING AND REHABILITATION CENTER","Madison","3","3","0","0"
"Florida","LIFE CARE CENTER OF PUNTA GORDA","Charlotte","3","3","0","0"
"Florida","MEMORIAL MANOR","Broward","3","3","0","0"
"Florida","NORTH LAKE CARE CENTER","Palm Beach","3","3","0","0"
"Florida","NSPIRE HEALTHCARE KENDALL","Dade","3","3","0","0"
"Florida","NSPIRE HEALTHCARE MIAMI LAKES","Dade","3","3","0","0"
"Florida","PALM GARDEN OF OCALA","Marion","3","3","0","0"
"Florida","PALM GARDEN OF WEST PALM BEACH","Palm Beach","3","3","0","0"
"Florida","PONCE PLAZA NURSING & REHABILITATION CENTER","Dade","3","3","0","0"
"Florida","REHABILITATION CENTER OF THE PALM BEACHES THE","Palm Beach","3","3","0","0"
"Florida","SPRINGS AT LAKE POINTE WOODS","Sarasota","3","3","0","0"
"Florida","ST PETERSBURG NURSING & REHABILITATION","Pinellas","3","3","0","0"
"Florida","SWEETEST HOME INC (THE)","Dade","3","3","0","0"
