"DEPCODE","County","State","Facility","Total Deaths","Resident Deaths","Staff Deaths","Deaths UI"
1,"Alachua","Florida","HUNTER'S CROSSING PLACE-ASSISTED LIVING","1","1","0","0"
1,"Alachua","Florida","PARKLANDS CARE CENTER","10","10","0","0"
2,"Baker","Florida","MACCLENNY NURSING AND REHAB CENTER","2","2","0","0"
2,"Baker","Florida","W FRANK WELLS NURSING HOME","1","1","0","0"
3,"Bay","Florida","SUPERIOR RESIDENCES OF PANAMA CITY BEACH","1","1","0","0"
3,"Bay","Florida","PANAMA CITY DEVELOPMENTAL CENTER","1","0","0","1"
3,"Bay","Florida","ST ANDREWS BAY SKILLED NURSING AND REHABILITATION CENTER","5","5","0","0"
4,"Bradford","Florida","WINDSOR HEALTH AND REHABILITATION CENTER","2","2","0","0"
5,"Brevard","Florida","VIERA DEL MAR HEALTH AND REHABILITATION CENTER","1","1","0","0"
5,"Brevard","Florida","SOLARIS HEALTHCARE MERRITT ISLAND","2","2","0","0"
5,"Brevard","Florida","GLENBROOKE AT PALM BAY","1","1","0","0"
5,"Brevard","Florida","ROYAL OAKS NURSING AND REHAB CENTER","1","1","0","0"
5,"Brevard","Florida","ROCKLEDGE HEALTH AND REHABILITATION CENTER","22","21","1","0"
5,"Brevard","Florida","CONSULATE HEALTH CARE OF MELBOURNE","7","7","0","0"
5,"Brevard","Florida","PALMS REHABILITATION AND HEALTHCARE CENTER, THE","4","4","0","0"
5,"Brevard","Florida","VIERA HEALTH AND REHABILITATION CENTER","8","8","0","0"
5,"Brevard","Florida","ANCHOR CARE AND REHABILITATION CENTER","2","2","0","0"
5,"Brevard","Florida","BROOKSHIRE (THE)","4","4","0","0"
5,"Brevard","Florida","GREENWOOD PLACE","3","3","0","0"
5,"Brevard","Florida","TITUSVILLE REHABILITATION AND NURSING CENTER","2","2","0","0"
5,"Brevard","Florida","BROOKDALE MELBOURNE","1","1","0","0"
5,"Brevard","Florida","CARRIAGE HOUSE ALF","1","1","0","0"
5,"Brevard","Florida","COURTENAY SPRINGS VILLAGE","6","6","0","0"
5,"Brevard","Florida","MELBOURNE TERRACE REHABILITATION CENTER","9","8","1","0"
5,"Brevard","Florida","SONATA VIERA","2","2","0","0"
6,"Broward","Florida","GOOD HOPE MANOR","4","4","0","0"
6,"Broward","Florida","ACTIVE SENIOR LIVING RESIDENCE","1","1","0","0"
6,"Broward","Florida","FLAMINGO ALF","1","1","0","0"
6,"Broward","Florida","ST. JOHN'S NURSING CENTER","4","4","0","0"
6,"Broward","Florida","EASTSIDE ACTIVE LIVING","1","1","0","0"
6,"Broward","Florida","MANOR PINES CONVALESCENT CENTER","24","24","0","0"
6,"Broward","Florida","SAEJCA'S CASTLE LLC","2","2","0","0"
6,"Broward","Florida","LIFE CARE CENTER OF INVERRARY","1","1","0","0"
6,"Broward","Florida","NSPIRE HEALTHCARE PLANTATION","6","6","0","0"
6,"Broward","Florida","WEST BROWARD REHABILITATION AND HEALTHCARE","1","1","0","0"
6,"Broward","Florida","LENOX ON THE LAKE (THE)","2","2","0","0"
6,"Broward","Florida","THE HORIZON CLUB","1","1","0","0"
6,"Broward","Florida","THE COURT AT PALM AIRE","3","3","0","0"
6,"Broward","Florida","VILLA RIO VISTA","2","2","0","0"
6,"Broward","Florida","FIVE STAR PREMIER RESIDENCES OF PLANTATION","1","0","1","0"
